state,population,population density,age adjusted suicide rate
Alabama,4779736,94.4,14.87008149
Alaska,710231,1.2,26.8344617
Arizona,6392017,56.3,18.18910454
Arkansas,2915918,56,19.1061412
California,37253956,239.1,10.23708926
Colorado,5029196,48.5,19.45681145
Connecticut,3574097,738.1,9.813252599
Delaware,897934,460.8,12.47819109
Florida,18801310,350.6,14.38169853
Georgia,9687653,168.4,12.66147312
Hawaii,1360301,211.8,13.48835053
Idaho,1567582,19,22.19203377
Illinois,12830632,231.1,10.28379472
Indiana,6483802,181,14.40049107
Iowa,3046355,54.5,13.94784812
Kansas,2853118,34.9,16.21349536
Kentucky,4339367,109.9,17.05633855
Louisiana,4533372,104.9,15.26061157
Maine,1328361,43.1,16.14313678
Maryland,5773552,594.8,8.759174279
Massachusetts,6547629,839.4,8.868558473
Michigan,9883640,174.8,13.73831556
Minnesota,5303925,66.6,13.19427575
Mississippi,2967297,63.2,13.95601465
Missouri,5988927,87.1,16.98244192
Montana,989415,6.8,25.25273005
Nebraska,1826341,23.8,11.58652995
Nevada,2700551,24.6,18.37586061
New Hampshire,1316470,147,16.5961046
New Jersey,8791894,"1,195.50",8.274719993
New Mexico,2059179,17,23.53032908
New York,19378102,411.2,7.809651764
North Carolina,9535483,196.1,13.38532638
North Dakota,672591,9.7,17.41851168
Ohio,11536504,282.3,13.8860034
Oklahoma,3751351,54.7,20.42304581
Oregon,3831074,39.9,17.77345465
Pennsylvania,12702379,283.9,13.91935173
Rhode Island,1052567,"1,018.10",11.24277729
South Carolina,4625364,153.9,14.80786744
South Dakota,814180,10.7,20.5717984
Tennessee,6346105,153.9,15.61500806
Texas,25145561,96.3,12.44363217
Utah,2763885,33.6,22.42349971
Vermont,625741,67.9,14.76673806
Virginia,8001024,202.6,12.65022261
Washington,6724540,101.2,15.37095793
West Virginia,1852994,77.1,17.53404406
Wisconsin,5686986,105,14.59428178
Wyoming,563626,5.8,28.23513719
