STATE_OR_REGION,2010_POPULATION,2010_DENSITY,2010_RANK
United States,308745538,87.4,
Alabama,4779736,94.4,29
Alaska,710231,1.2,52
Arizona,6392017,56.3,35
Arkansas,2915918,56,36
California,37253956,239.1,13
Colorado,5029196,48.5,39
Connecticut,3574097,738.1,6
Delaware,897934,460.8,8
District of Columbia,601723,"9,856.50",1
Florida,18801310,350.6,10
Georgia,9687653,168.4,20
Hawaii,1360301,211.8,15
Idaho,1567582,19,46
Illinois,12830632,231.1,14
Indiana,6483802,181,18
Iowa,3046355,54.5,38
Kansas,2853118,34.9,42
Kentucky,4339367,109.9,24
Louisiana,4533372,104.9,26
Maine,1328361,43.1,40
Maryland,5773552,594.8,7
Massachusetts,6547629,839.4,5
Michigan,9883640,174.8,19
Minnesota,5303925,66.6,33
Mississippi,2967297,63.2,34
Missouri,5988927,87.1,30
Montana,989415,6.8,50
Nebraska,1826341,23.8,45
Nevada,2700551,24.6,44
New Hampshire,1316470,147,23
New Jersey,8791894,"1,195.50",2
New Mexico,2059179,17,47
New York,19378102,411.2,9
North Carolina,9535483,196.1,17
North Dakota,672591,9.7,49
Ohio,11536504,282.3,12
Oklahoma,3751351,54.7,37
Oregon,3831074,39.9,41
Pennsylvania,12702379,283.9,11
Rhode Island,1052567,"1,018.10",4
South Carolina,4625364,153.9,22
South Dakota,814180,10.7,48
Tennessee,6346105,153.9,21
Texas,25145561,96.3,28
Utah,2763885,33.6,43
Vermont,625741,67.9,32
Virginia,8001024,202.6,16
Washington,6724540,101.2,27
West Virginia,1852994,77.1,31
Wisconsin,5686986,105,25
Wyoming,563626,5.8,51
Puerto Rico,3725789,"1,088.20",3
