State,Year,Cause of Death,Deaths,Population,Crude Rate,Age-Adjusted Rate
Alabama,2015,Suicide Injury,750,4858979,15.44,14.87008149
Alaska,2015,Suicide Injury,201,738432,27.22,26.8344617
Arizona,2015,Suicide Injury,1276,6828065,18.69,18.18910454
Arkansas,2015,Suicide Injury,577,2978204,19.37,19.1061412
California,2015,Suicide Injury,4167,39144818,10.65,10.23708926
Colorado,2015,Suicide Injury,1093,5456574,20.03,19.45681145
Connecticut,2015,Suicide Injury,384,3590886,10.69,9.813252599
Delaware,2015,Suicide Injury,122,945934,12.9,12.47819109
District of Columbia,2015,Suicide Injury,34,672228,5.06,4.916012546
Florida,2015,Suicide Injury,3205,20271272,15.81,14.38169853
Georgia,2015,Suicide Injury,1317,10214860,12.89,12.66147312
Hawaii,2015,Suicide Injury,201,1431603,14.04,13.48835053
Idaho,2015,Suicide Injury,359,1654930,21.69,22.19203377
Illinois,2015,Suicide Injury,1363,12859995,10.6,10.28379472
Indiana,2015,Suicide Injury,960,6619680,14.5,14.40049107
Iowa,2015,Suicide Injury,433,3123899,13.86,13.94784812
Kansas,2015,Suicide Injury,477,2911641,16.38,16.21349536
Kentucky,2015,Suicide Injury,776,4425092,17.54,17.05633855
Louisiana,2015,Suicide Injury,722,4670724,15.46,15.26061157
Maine,2015,Suicide Injury,235,1329328,17.68,16.14313678
Maryland,2015,Suicide Injury,553,6006401,9.21,8.759174279
Massachusetts,2015,Suicide Injury,642,6794422,9.45,8.868558473
Michigan,2015,Suicide Injury,1410,9922576,14.21,13.73831556
Minnesota,2015,Suicide Injury,730,5489594,13.3,13.19427575
Mississippi,2015,Suicide Injury,431,2992333,14.4,13.95601465
Missouri,2015,Suicide Injury,1052,6083672,17.29,16.98244192
Montana,2015,Suicide Injury,272,1032949,26.33,25.25273005
Nebraska,2015,Suicide Injury,223,1896190,11.76,11.58652995
Nevada,2015,Suicide Injury,558,2890845,19.3,18.37586061
New Hampshire,2015,Suicide Injury,228,1330608,17.14,16.5961046
New Jersey,2015,Suicide Injury,789,8958013,8.81,8.274719993
New Mexico,2015,Suicide Injury,500,2085109,23.98,23.53032908
New York,2015,Suicide Injury,1652,19795791,8.35,7.809651764
North Carolina,2015,Suicide Injury,1406,10042802,14,13.38532638
North Dakota,2015,Suicide Injury,124,756927,16.38,17.41851168
Ohio,2015,Suicide Injury,1650,11613423,14.21,13.8860034
Oklahoma,2015,Suicide Injury,790,3911338,20.2,20.42304581
Oregon,2015,Suicide Injury,762,4028977,18.91,17.77345465
Pennsylvania,2015,Suicide Injury,1894,12802503,14.79,13.91935173
Rhode Island,2015,Suicide Injury,127,1056298,12.02,11.24277729
South Carolina,2015,Suicide Injury,742,4896146,15.15,14.80786744
South Dakota,2015,Suicide Injury,173,858469,20.15,20.5717984
Tennessee,2015,Suicide Injury,1068,6600299,16.18,15.61500806
Texas,2015,Suicide Injury,3403,27469114,12.39,12.44363217
Utah,2015,Suicide Injury,630,2995919,21.03,22.42349971
Vermont,2015,Suicide Injury,103,626042,16.45,14.76673806
Virginia,2015,Suicide Injury,1118,8382993,13.34,12.65022261
Washington,2015,Suicide Injury,1137,7170351,15.86,15.37095793
West Virginia,2015,Suicide Injury,340,1844128,18.44,17.53404406
Wisconsin,2015,Suicide Injury,877,5771337,15.2,14.59428178
Wyoming,2015,Suicide Injury,157,586107,26.79,28.23513719
